Main_Values,Paramater,Conditions,Symbol,Values,Min,Typ,Max,Unit,User,TimeStamp,p_number,version
HPDIGBT 750V834A ST_DIODEMaximum Rated Values,Recovered charge,"IF = 450A, VR = 400V, Tj = 25°C",Qrr,,,14,,μC,,,,
HPDIGBT 750V835A ST_DIODEMaximum Rated Values,Recovered charge,"VGE = -8V, Tj = 150°C",Qrr,,,26.5,,μC,,,,
HPDIGBT 750V836A ST_DIODEMaximum Rated Values,Recovered charge,"–diF/dt = 5.0 A/ns (25°C),Tj = 175°C",Qrr,,,31,,μC,,,,
HPDIGBT 750V837A ST_DIODEMaximum Rated Values,Recovered charge,–diF/dt = 4.1 A/ns (150°C),Qrr,,,,,μC,,,,
HPDIGBT 750V838A ST_DIODEMaximum Rated Values,Reverse recovery energy,"IF = 450A, VR = 400V, Tj = 25°C",Erec,,,3.5,,mJ,,,,
HPDIGBT 750V839A ST_DIODEMaximum Rated Values,Reverse recovery energy,"VGE = -8V, Tj = 150°C",Erec,,,8.3,,mJ,,,,
HPDIGBT 750V840A ST_DIODEMaximum Rated Values,Reverse recovery energy,"–diF/dt = 5.0 A/ns (25°C),Tj = 175°C",Erec,,,9.6,,mJ,,,,
HPDIGBT 750V841A ST_DIODEMaximum Rated Values,Reverse recovery energy,–diF/dt = 4.1 A/ns (150°C),Erec,,,,,mJ,,,,
HPDIGBT 750V842A ST_DIODEMaximum Rated Values,"Thermal resistance, junction to cooling fluid",Per diode,"Rth,JF",,,0.175,0.2,K/W,,,,
HPDIGBT 750V843A ST_DIODEMaximum Rated Values,"Thermal resistance, junction to cooling fluid",dV/dT = 10 dm3/min,"Rth,JF",,,0.175,0.2,K/W,,,,
HPDIGBT 750V844A ST_DIODEMaximum Rated Values,"Thermal resistance, junction to cooling fluid",TF = 70°C,"Rth,JF",,,0.175,0.2,K/W,,,,
HPDIGBT 750V820A ST_NTC-Thermistor,Rated resistance,Tc = 25°C,R25,,,5,,kΩ,鴨立大,2024070211580100,,v0702_1
HPDIGBT 750V820A ST_NTC-Thermistor,Resistance tolerance,"Tc = 100°C, R100 = 493 Ω",ΔR/R,,-5,,5,%,,,,
HPDIGBT 750V820A ST_NTC-Thermistor,B-value,R2 = R25 exp [B25/50(1/T2 – 1/(298 K))],B25/50,,,3375,,K,,,,
HPDIGBT 750V820A ST_NTC-Thermistor,B-value,R2 = R25 exp [B25/80(1/T2 – 1/(298 K))],B25/80,,,3411,,K,,,,
HPDIGBT 750V820A ST_NTC-Thermistor,B-value,R2 = R25 exp [B25/100(1/T2 – 1/(298 K))],B25/100,,,3433,,K,,,,
HPDIGBT 750V820A ST_Module,Isolation test voltage,"RMS, f = 0 Hz, t = 1 sec",VISOL,4.2,,,,kV,部佳斑,2024070211580100,,v0702_1
HPDIGBT 750V820A ST_Module,Module baseplate material,,,Cu + Ni,,,,,,,,
HPDIGBT 750V820A ST_Module,Module internal isolation material,"Basic isolation (class 1, IEC 61140)",,Al2O3,,,,,,,,
HPDIGBT 750V820A ST_Module,Creepage distance,Terminal to heatsink,"dCreep,TH",9,,,,mm,,,,
HPDIGBT 750V820A ST_Module,Creepage distance,Terminal to terminal,"dCreep,TT",9,,,,mm,,,,
HPDIGBT 750V820A ST_Module,Clearance distance,Terminal to heatsink,"dClear,TH",4.5,,,,mm,,,,
HPDIGBT 750V820A ST_Module,Clearance distance,Terminal to terminal,"dClear,TT",4.5,,,,mm,,,,
HPDIGBT 750V820A ST_Module,Comparative tracking index 1),,CTI,> 200,,,,,,,,
HPDIGBT 750V820A ST_Module,Module stray inductance,,LsCE,,,7,,nH,,,,
HPDIGBT 750V820A ST_Module,Storage temperature,,Tstg,-40,,,125,°C,,,,
HPDIGBT 750V820A ST_Module,Mounting torque for module,Screw M4 baseplate to heatsink,M,1.8,,2,,Nm,,,,
HPDIGBT 750V820A ST_Module,mounting,Screw M4 baseplate to heatsink,M,1.8,,2,,Nm,,,,
HPDIGBT 750V820A ST_Module,Weight,,G,,,750,, g,,,,
